num,nombre,partido,eleccion,estado,camara,propietario,twitter,facebook,youtube,pagina_personal,twitter_avatar
49,"Barba Mariscal Marco Antonio","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","marco_barba","MarcoBarbaM","","","http://pbs.twimg.com/profile_images/2941604945/c79602ad9ef5de28901f7dab6b45cfe6_bigger.jpeg"
50,"Barcenas Nieves Delvim Fabiola","PRI","Mayoría Relativa","Querétaro","D","PROPIETARIO","","","","",
51,"Barrera Barrera Petra","PRI","Mayoría Relativa","Guanajuato","D","PROPIETARIO","","PetraBarrera","","",
52,"Barrera Estrada Rodimiro","PRI","Mayoría Relativa","Michoacán","D","PROPIETARIO","","rodimiro.barreraestrada","Rodimiro Barrera Estrada","",
53,"Barrera Fortoul Laura","PRI","Mayoría Relativa","México","D","PROPIETARIO","LauraBarreraF","LBarreraFortoul","LauraBarreraFortoul","laurabarrerafortoul.net","http://pbs.twimg.com/profile_images/3507747862/cbeedd5ae0658a22a3f15cadd4b4ba93_bigger.jpeg"
54,"Barrios Gómez Segués Agustín","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","Agustín-Barrios-Gómez","","",
55,"Barrueta Barón Noé","PRI","Mayoría Relativa","México","D","PROPIETARIO","noe_barrueta// NOEBARRUETA","noe.barruetabaron","NOEBARRUETADIPUTADO","",
56,"Rodrigo Chávez Contreras","PRD","Representación Proporcional","Distrito Federal","D","suplente","","rodrigo.chavezcontretas.1","","",
57,"Bautista Bravo Alliet Mariana","PRD","Mayoría Relativa","México","D","PROPIETARIO","allietmbautista","allietmariana.bautista.3","Alliet Bautista Bravo","","http://pbs.twimg.com/profile_images/3175628353/20ae80de744f4ee6035fd859f587de11_bigger.jpeg"
58,"Bautista Cuevas Gloria","PRD","Mayoría Relativa","Oaxaca","D","PROPIETARIO","GloriaBautistaC","Gloria.bautistacuevas","","","http://pbs.twimg.com/profile_images/3512856670/4b43152ce202fa77c4e03138d76eb7fa_bigger.jpeg"
59,"Bautista López Víctor Manuel","PRD","Mayoría Relativa","México","D","PROPIETARIO","","victormanuel.bautistalopez.3","","",
60,"Bautista Villegas Óscar","PRI","Mayoría Relativa","San Luis Potosí","D","PROPIETARIO","OscarBV3","cumpliendocompromisos.OBV","","","http://pbs.twimg.com/profile_images/3390124916/5bd75b74fb33920c0eb92b7229af2bab_bigger.jpeg"
61,"Belaunzarán Méndez Fernando","PRD","Representación Proporcional","Distrito Federal","D","PROPIETARIO","ferbelaunzaran","fernando.belaunzaranmendez","Fernando Belaunzarán Méndez","","http://pbs.twimg.com/profile_images/3708646298/baa7875a3ca9714161644f9df0f94f95_bigger.jpeg"
62,"Beltrones Rivera Manlio Fabio","PRI","Representación Proporcional","Sonora","D","PROPIETARIO","MFBeltrones","Beltrones","Manlio Fabio Beltrones","www.beltrones.com","http://pbs.twimg.com/profile_images/415274446350741504/8_9uTvC3_bigger.jpeg"
63,"Benavides Castañeda José Alberto","PT","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","","","",
64,"Bernal Bolnik Sue Ellen","PRI","Mayoría Relativa","México","D","PROPIETARIO","Sue_Bernal","SueEllenBernal","","","http://pbs.twimg.com/profile_images/3317413653/b025c896e09d54c5811fef3e667de0d8_bigger.jpeg"
65,"Bernal Gutiérrez Andrés Marco Antonio","PRI","Representación Proporcional","Tamaulipas","D","PROPIETARIO","MarcoBernalG","MarcoA.BernalG","","","http://pbs.twimg.com/profile_images/438425086928756736/YMKICXms_bigger.jpeg"
66,"Berzunza Novelo Landy Margarita","PRI","Mayoría Relativa","Campeche","D","PROPIETARIO","","landy.berzunza","LandyBerzunza","",
67,"Blanco De Aquino Silvano","PRD","Mayoría Relativa","Guerrero","D","PROPIETARIO","SilvanoBlanco","silvanoblancodeaquino","Silvano Blanco","","http://pbs.twimg.com/profile_images/418794460470714368/0ULuhzgb_bigger.jpeg"
